_ORGANIZATION_ENTITY_URN,FIVETRAN_SYNCED,FOLLOWER_COUNTS_ORGANIC_FOLLOWER_COUNT,FOLLOWER_COUNTS_PAID_FOLLOWER_COUNT
urn:li:organization:37930,2023-04-04,52,0
urn:li:organization:18124695,2023-04-04,1,0
urn:li:organization:37930,2023-04-04,14,0
urn:li:organization:10043,2023-04-04,1055,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organizationBrand:28978119,2023-04-04,6,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organizationBrand:25736,2023-04-04,22,0
urn:li:organization:18124695,2023-04-04,3,0
urn:li:organization:10043,2023-04-04,41,0
urn:li:organization:25736,2023-04-04,31,0
urn:li:organization:18124695,2023-04-04,7,0
urn:li:organization:10043,2023-04-04,16,0
urn:li:organization:10043,2023-04-04,98,0
urn:li:organizationBrand:25736,2023-04-04,1021,0
urn:li:organization:18124695,2023-04-04,8,0
urn:li:organization:10043,2023-04-04,20,0
urn:li:organization:18124695,2023-04-04,265,0
urn:li:organization:25736,2023-04-04,18,0
urn:li:organization:10043,2023-04-04,362,0
urn:li:organizationBrand:28978119,2023-04-04,12,0
urn:li:organizationBrand:25736,2023-04-04,14,0
urn:li:organizationBrand:25736,2023-04-04,10,0
urn:li:organization:25736,2023-04-04,7,0
urn:li:organization:10043,2023-04-04,261,0
urn:li:organization:25736,2023-04-04,78,0
urn:li:organizationBrand:25736,2023-04-04,66,0
urn:li:organizationBrand:28981048,2023-04-04,47,0
urn:li:organization:18124695,2023-04-04,2,0
urn:li:organization:25736,2023-04-04,171,0
urn:li:organization:10043,2023-04-04,97,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
urn:li:organizationBrand:28978119,2023-04-04,2,0
urn:li:organization:37930,2023-04-04,55,0
urn:li:organization:18124695,2023-04-04,6,0
urn:li:organization:37930,2023-04-04,60,0
urn:li:organization:18124695,2023-04-04,1,0
urn:li:organizationBrand:28981048,2023-04-04,2,0
urn:li:organizationBrand:28981048,2023-04-04,1,0
